z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0.016827;0.29616;0.31178;0.49077;0.51192;0.21307;0.1763;;;;;;
0.017064;0.29584;0.31168;0.49025;0.51168;0.21392;0.17664;;;;;;
0.017301;0.29552;0.31157;0.48972;0.51144;0.21476;0.17699;;;;;;
0.017538;0.2952;0.31147;0.48919;0.5112;0.2156;0.17733;;;;;;
0.017775;0.29489;0.31137;0.48867;0.51096;0.21645;0.17768;;;;;;
0.018012;0.29457;0.31126;0.48814;0.51072;0.21729;0.17802;;;;;;
0.018249;0.29425;0.31116;0.48762;0.51047;0.21813;0.17837;;;;;;
0.018486;0.29394;0.31105;0.48709;0.51023;0.21897;0.17872;;;;;;
0.018723;0.29362;0.31095;0.48656;0.50999;0.21982;0.17906;;;;;;
0.01896;0.2933;0.31084;0.48604;0.50975;0.22066;0.17941;;;;;;
0.019197;0.29298;0.31074;0.48551;0.5095;0.2215;0.17976;;;;;;
0.019434;0.29267;0.31063;0.48499;0.50926;0.22235;0.18011;;;;;;
0.019671;0.29235;0.31052;0.48446;0.50902;0.22319;0.18046;;;;;;
0.019908;0.29203;0.31042;0.48393;0.50877;0.22403;0.18081;;;;;;
0.020145;0.29171;0.31031;0.48341;0.50853;0.22488;0.18116;;;;;;
0.020382;0.2914;0.31021;0.48288;0.50828;0.22572;0.18151;;;;;;
0.020619;0.29108;0.3101;0.48236;0.50804;0.22656;0.18186;;;;;;
0.020856;0.29076;0.30999;0.48183;0.50779;0.22741;0.18222;;;;;;
0.021093;0.29044;0.30989;0.48131;0.50755;0.22825;0.18257;;;;;;
0.02133;0.29013;0.30978;0.48078;0.5073;0.22909;0.18292;;;;;;
0.021567;0.28981;0.30967;0.48025;0.50706;0.22994;0.18327;;;;;;
0.021804;0.28949;0.30956;0.47973;0.50681;0.23078;0.18363;;;;;;
0.022041;0.28917;0.30945;0.4792;0.50656;0.23162;0.18399;;;;;;
0.022278;0.28886;0.30935;0.47868;0.50631;0.23247;0.18434;;;;;;
0.022515;0.28854;0.30924;0.47815;0.50607;0.23331;0.1847;;;;;;
0.022752;0.28822;0.30913;0.47762;0.50582;0.23415;0.18505;;;;;;
0.022989;0.28791;0.30902;0.4771;0.50557;0.235;0.18541;;;;;;
