x, y
0.0005076142131979696, 0.15355233002291827
0.024111675126903556, 0.18487394957983194
0.046192893401015234, 0.22459893048128343
0.06637055837563452, 0.2597402597402597
0.07398477157360406, 0.2773109243697479
0.0968274111675127, 0.33766233766233766
0.12170050761421321, 0.39877769289533993
0.14060913705583758, 0.46065699006875477
0.1619289340101523, 0.5469824293353706
0.18223350253807108, 0.6409472880061116
0.19771573604060916, 0.7242169595110771
0.20951776649746193, 0.8021390374331551
0.22144670050761422, 0.8808250572956455
0.23248730964467007, 0.9587471352177235
0.2385786802030457, 1.0099312452253628
