phi,		eta
0.426650,	5.660086
0.429555,	44.116166
0.430513,	5.510758
0.434135,	5.385668
0.437751,	5.262120
0.441136,	5.168522
0.444896,	5.051529
0.448687,	4.937139
0.452508,	4.825221
0.454041,	1.232836
0.456360,	4.715635
0.460569,	4.581862
0.464313,	4.489330
0.468436,	4.385709
0.472388,	4.286020
0.476372,	4.188048
0.480227,	4.093042
0.480281,	1.282776
0.484359,	3.984484
0.488366,	3.891541
0.492460,	3.799465
0.496548,	3.708967
0.499458,	42.114005
0.499458,	42.114005
0.499976,	42.095036
0.500631,	3.620022
0.500685,	42.005088
0.501230,	41.985263
0.501324,	1.333299
0.502000,	42.029160
0.502570,	42.008544
0.503153,	41.987388
0.503800,	41.922898
0.504417,	41.898944
0.504712,	3.532658
0.505050,	41.874284
0.505050,	41.874284
0.505285,	41.865156
0.505521,	41.855927
0.505760,	41.846596
0.506002,	41.837159
0.506246,	41.827615
0.506492,	41.817961
0.506742,	41.808194
0.506994,	41.798312
0.507248,	41.788312
0.507506,	41.778192
0.507766,	41.767948
0.508029,	41.757578
0.508171,	41.762898
0.508443,	41.752793
0.508718,	41.742565
0.508782,	3.446913
0.508928,	41.736683
0.509315,	41.754713
0.509597,	41.744955
0.509793,	41.732353
0.509883,	41.735060
0.510086,	41.721375
0.510382,	41.710255
0.510683,	41.698989
0.510987,	41.687572
0.511295,	41.676000
0.511607,	41.664273
0.512247,	41.763561
0.512575,	41.750156
0.512887,	3.361739
0.512910,	41.737231
0.513255,	41.689661
0.513595,	41.673306
0.513939,	41.656925
0.514351,	41.582801
0.514446,	41.504739
0.515062,	41.515062
0.515423,	41.615813
0.515791,	41.601474
0.516164,	41.586958
0.516544,	41.572263
0.516729,	41.553330
0.516943,	3.278110
0.517107,	41.540816
0.517660,	41.420631
0.518125,	41.378894
0.518170,	1.384371
0.518682,	41.331013
0.518969,	41.399425
0.519505,	41.368836
0.519955,	41.288001
0.520150,	41.375940
0.520685,	41.340353
0.520964,	41.390582
0.521000,	3.195980
0.521579,	41.282380
0.522064,	41.264239
0.522533,	41.228474
0.523043,	41.209048
0.523640,	41.167424
0.524149,	41.215776
0.524923,	41.137024
0.525032,	3.115042
0.525214,	41.058354
0.525693,	41.128205
0.526483,	41.027194
0.526959,	41.104718
0.527585,	41.075787
0.528210,	40.961924
0.528963,	41.000536
0.529028,	3.035230
0.529616,	40.973528
0.530286,	40.945974
0.530452,	40.913148
0.531168,	40.885417
0.531781,	1.437270
0.531900,	40.828726
0.532663,	40.797407
0.532976,	2.956446
0.533545,	40.898564
0.534347,	40.868296
0.535176,	40.836955
0.536626,	40.796377
0.536865,	2.878853
0.537812,	40.741028
0.538942,	40.731292
0.540121,	40.566268
0.540569,	40.573475
0.540588,	2.800504
0.541634,	40.533138
0.542679,	1.491455
0.542746,	40.490663
0.543909,	40.445966
0.544320,	2.725521
0.545185,	40.374914
0.546461,	40.326200
0.547560,	40.342926
0.548013,	2.652676
0.549031,	40.286769
0.550893,	40.121660
0.551321,	1.546974
0.551488,	2.579297
0.552587,	40.078815
0.553589,	40.043784
0.554811,	2.507049
0.557794,	39.981434
0.557954,	2.435916
0.558051,	1.603691
0.559609,	39.884465
0.560889,	2.365895
0.561974,	39.709354
0.563117,	1.660607
0.563571,	2.296870
0.564575,	39.632112
0.566324,	2.230341
0.566920,	1.724401
0.567753,	39.528100
0.568361,	2.162992
0.569177,	1.781210
0.569986,	2.096702
0.570713,	1.841841
0.571146,	2.031461
0.571434,	1.903619
0.571593,	39.384719
0.571770,	1.967269
0.576253,	39.147556
0.582076,	38.926412
0.590987,	38.593170
0.603573,	38.170997
0.629911,	37.193902
0.629911,	37.193902
0.645582,	36.603637
0.645627,	36.587610
0.646250,	36.579524
0.646477,	36.557784
0.646545,	36.525227
0.646664,	36.604874
0.646709,	36.548632
