# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.07125         	8.23140770e-03	3.69519632e-03	4.96398398e-04	2.31426776e-03	N/A
0.0725          	8.11940631e-03	3.60963731e-03	4.88529276e-04	2.26441261e-03	N/A
0.07375         	8.02045347e-03	3.52748232e-03	4.85183416e-04	2.21644038e-03	N/A
0.075           	7.91870953e-03	3.44838496e-03	4.73731202e-04	2.17024407e-03	N/A
0.07625         	7.81442562e-03	3.37164451e-03	4.70565132e-04	2.12573906e-03	N/A
0.0775          	7.72243644e-03	3.29748508e-03	4.67447095e-04	2.08286544e-03	N/A
0.07875         	7.62439446e-03	3.22551295e-03	4.57012561e-04	2.04165221e-03	N/A
0.08            	7.52847941e-03	3.15582106e-03	4.53736074e-04	2.00184899e-03	N/A
0.08125         	7.44117742e-03	3.08736741e-03	4.48286135e-04	1.96334819e-03	N/A
0.0825          	7.34618996e-03	3.02073830e-03	4.39281793e-04	1.92610616e-03	N/A
0.08375         	7.25864103e-03	2.95590107e-03	4.42607323e-04	1.89004295e-03	N/A
0.085           	7.17354265e-03	2.89320619e-03	4.36627917e-04	1.85510610e-03	N/A
0.08625         	7.08414566e-03	2.83211470e-03	4.24749552e-04	1.82125063e-03	N/A
0.0875          	7.00197099e-03	2.77322036e-03	4.28168799e-04	1.78838901e-03	N/A
0.08875         	6.92033318e-03	2.71584648e-03	4.16508786e-04	1.75653245e-03	N/A
0.09            	6.83639469e-03	2.66016767e-03	4.16697069e-04	1.72555570e-03	N/A
0.09125         	6.75801397e-03	2.60590237e-03	4.14921938e-04	1.69553635e-03	N/A
0.0925          	6.67855693e-03	2.55321066e-03	4.00739823e-04	1.66632433e-03	N/A
0.09375         	6.60156747e-03	2.50148903e-03	4.06275462e-04	1.63794422e-03	N/A
0.095           	6.52460309e-03	2.45104791e-03	4.01160555e-04	1.61034778e-03	N/A
0.09625         	6.45114639e-03	2.40158476e-03	3.90829637e-04	1.58350492e-03	N/A
0.0975          	6.37556252e-03	2.35313772e-03	3.88725233e-04	1.55735991e-03	N/A
0.09875         	6.30067474e-03	2.30606342e-03	3.79922509e-04	1.53191452e-03	N/A
0.1             	6.23326586e-03	2.26030258e-03	3.75817432e-04	1.50714138e-03	N/A
0.10125         	6.16172951e-03	2.21564380e-03	3.76375237e-04	1.48294707e-03	N/A
0.1025          	6.09138606e-03	2.17234568e-03	3.64875813e-04	1.45925836e-03	N/A
0.10375         	6.02704780e-03	2.13023934e-03	3.64801051e-04	1.43594970e-03	N/A
0.105           	5.95864981e-03	2.08917154e-03	3.62864256e-04	1.41303571e-03	N/A
0.10625         	5.89289511e-03	2.04896803e-03	3.53004612e-04	1.39066488e-03	N/A
0.1075          	5.83118241e-03	2.00998770e-03	3.52450192e-04	1.36880245e-03	N/A
0.10875         	5.76659255e-03	1.97178935e-03	3.48075039e-04	1.34746727e-03	N/A
0.11            	5.70455726e-03	1.93448417e-03	3.43603490e-04	1.32659188e-03	N/A
0.11125         	5.64640335e-03	1.89806919e-03	3.41437237e-04	1.30623094e-03	N/A
0.1125          	5.58483254e-03	1.86262610e-03	3.34290006e-04	1.28629833e-03	N/A
0.11375         	5.52726772e-03	1.82831951e-03	3.32735714e-04	1.26681583e-03	N/A
0.115           	5.47066294e-03	1.79483519e-03	3.30975731e-04	1.24775937e-03	N/A
0.11625         	5.41361516e-03	1.76224476e-03	3.21778560e-04	1.22912194e-03	N/A
0.1175          	5.35885389e-03	1.73023858e-03	3.21373347e-04	1.21088887e-03	N/A
0.11875         	5.30484898e-03	1.69896494e-03	3.18124608e-04	1.19305152e-03	N/A
0.12            	5.25082125e-03	1.66829442e-03	3.11335841e-04	1.17563220e-03	N/A
0.12125         	5.19848470e-03	1.63814397e-03	3.11781175e-04	1.15857880e-03	N/A
0.1225          	5.14725765e-03	1.60857064e-03	3.07997973e-04	1.14187061e-03	N/A
0.12375         	5.09414808e-03	1.57951869e-03	3.02858765e-04	1.12549145e-03	N/A
0.125           	5.04499700e-03	1.55095851e-03	3.03523173e-04	1.10943372e-03	N/A
0.12625         	4.99522311e-03	1.52282638e-03	2.97109211e-04	1.09369832e-03	N/A
0.1275          	4.94405963e-03	1.49532713e-03	2.93832361e-04	1.07826051e-03	N/A
0.12875         	4.89607844e-03	1.46829669e-03	2.92908130e-04	1.06312524e-03	N/A
0.13            	4.84831334e-03	1.44176505e-03	2.87946214e-04	1.04826015e-03	N/A
0.13125         	4.79815982e-03	1.41581279e-03	2.86274780e-04	1.03368879e-03	N/A
0.1325          	4.75124534e-03	1.39020568e-03	2.85011669e-04	1.01937763e-03	N/A
0.13375         	4.70509284e-03	1.36507589e-03	2.80712088e-04	1.00533026e-03	N/A
0.135           	4.65605707e-03	1.34037979e-03	2.79517334e-04	9.91533682e-04	N/A
0.13625         	4.60977137e-03	1.31608810e-03	2.77220496e-04	9.77983033e-04	N/A
0.1375          	4.56472501e-03	1.29219446e-03	2.73662365e-04	9.64671505e-04	N/A
0.13875         	4.51636673e-03	1.26871025e-03	2.72910127e-04	9.51598671e-04	N/A
0.14            	4.47111785e-03	1.24560139e-03	2.70105118e-04	9.38760779e-04	N/A
0.14125         	4.42603460e-03	1.22290455e-03	2.66355554e-04	9.26153544e-04	N/A
0.1425          	4.37882580e-03	1.20055474e-03	2.65762377e-04	9.13755879e-04	N/A
0.14375         	4.33333247e-03	1.17845972e-03	2.64003306e-04	9.01559760e-04	N/A
0.145           	4.28884884e-03	1.15687339e-03	2.61393285e-04	8.89559252e-04	N/A
0.14625         	4.24173729e-03	1.13552205e-03	2.60588369e-04	8.77751252e-04	N/A
0.1475          	4.19578807e-03	1.11445124e-03	2.59590039e-04	8.66130401e-04	N/A
0.14875         	4.15112682e-03	1.09376640e-03	2.57919265e-04	8.54693187e-04	N/A
0.15            	4.10369485e-03	1.07340705e-03	2.57092527e-04	8.43426960e-04	N/A
0.15125         	4.05774647e-03	1.05329655e-03	2.56973762e-04	8.32321529e-04	N/A
0.1525          	4.01155413e-03	1.03344221e-03	2.56580300e-04	8.21365507e-04	N/A
0.15375         	3.96356091e-03	1.01405374e-03	2.56102339e-04	8.10558787e-04	N/A
0.155           	3.91658154e-03	9.94916126e-04	2.56329539e-04	7.99896594e-04	N/A
