x	yN2
0.000150853	0.15547025
0.021584198	0.184261036
0.043023063	0.218809981
0.091996836	0.314779271
0.13621139	0.445297505
0.166355559	0.562380038
0.189467294	0.6756238
0.20970363	0.788867562
0.226108859	0.904990403
0.232549226	0.957773512
0.239298964	1
